index,links,pincode,bedrooms,bathroom,parking,furniture,carpet_area_sqft,agent,transaction_type,property_type,price,Latitude,Longitude,location,location_with_pincode
0,https://www.magicbricks.com/propertyDetails/5-BHK-3410-Sq-ft-Penthouse-FOR-Sale-Mulund-West-in-Mumbai&id=4d423639323236333639,400080,5,5,covered parking,unfurnished,2200,Not certified,New Property,Penthouse,59000000,19.176,72.9522,S.B. Road,S.B. Road - 400080
1,https://www.magicbricks.com/propertyDetails/4-BHK-3926-Sq-ft-Penthouse-FOR-Sale-Byculla-in-Mumbai&id=4d423638383538363631,400010,4,4,covered parking,unfurnished,3926,certified agent,New Property,Penthouse,239500000,18.3667,72.9333,Mazgaon,Mazgaon - 400010
2,https://www.magicbricks.com/propertyDetails/4-BHK-5500-Sq-ft-Penthouse-FOR-Sale-Juhu-in-Mumbai&id=4d423638333131383135,400049,4,4,No covered parking,furnished,4200,Not certified,Resale,Penthouse,185000000,19.1026,72.8242,Juhu,Juhu - 400049
3,https://www.magicbricks.com/propertyDetails/5-BHK-5800-Sq-ft-Penthouse-FOR-Sale-Juhu-in-Mumbai&id=4d423639323531343031,400049,5,5,No covered parking,furnished,4800,Not certified,Resale,Penthouse,450000000,19.1026,72.8242,Juhu,Juhu - 400049
4,https://www.magicbricks.com/propertyDetails/4-BHK-2600-Sq-ft-Penthouse-FOR-Sale-Chembur-in-Mumbai&id=4d423633393230303839,400071,4,5,No covered parking,furnished,2250,Not certified,Resale,Penthouse,80000000,19.0348,72.8929,Chembur,Chembur - 400071
5,https://www.magicbricks.com/propertyDetails/5-BHK-3000-Sq-ft-Penthouse-FOR-Sale-Vile-Parle-East-in-Mumbai&id=4d423637343435363433,400099,5,4,No covered parking,unfurnished,2500,Not certified,Resale,Penthouse,91100000,19.2355,72.8468,Sahar P & T Colony,Sahar P & T Colony - 400099
6,https://www.magicbricks.com/propertyDetails/5-BHK-3500-Sq-ft-Penthouse-FOR-Sale-Andheri-West-in-Mumbai&id=4d423638373935363837,400047,5,6,No covered parking,furnished,2500,Not certified,Resale,Penthouse,120000000,19.136326,72.82766,Andheri west,Andheri west-400047
7,https://www.magicbricks.com/propertyDetails/3-BHK-2200-Sq-ft-Penthouse-FOR-Sale-Powai-in-Mumbai&id=4d423638323233373039,400076,3,3,No covered parking,semi-furnished,2200,Not certified,Resale,Penthouse,52300000,19.0737,72.9009,Powai Iit,Powai Iit - 400076
8,https://www.magicbricks.com/propertyDetails/4-BHK-3300-Sq-ft-Penthouse-FOR-Sale-Oshiwara-in-Mumbai&id=4d423638393638343333,400102,4,5,No covered parking,furnished,3300,Not certified,Resale,Penthouse,138000000,19.0499,73.259,Jogeshwari West,Jogeshwari West - 400102
9,https://www.magicbricks.com/propertyDetails/5-BHK-1200-Sq-ft-Penthouse-FOR-Sale-Lokhandwala-Complex-in-Mumbai&id=4d423638353136363037,400047,5,5,covered parking,furnished,2600,certified agent,Resale,Penthouse,120000000,19.136326,72.82766,Andheri west,Andheri west-400047
